LAST SEEN   TYPE      REASON                   OBJECT                                                             MESSAGE
40m         Normal    Pulling                  pod/fluentd-84fg2                                                  Pulling image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972"
39m         Normal    Pulled                   pod/fluentd-84fg2                                                  Successfully pulled image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" in 22.283962144s
37m         Normal    Created                  pod/fluentd-84fg2                                                  Created container fluentd-init
37m         Normal    Started                  pod/fluentd-84fg2                                                  Started container fluentd-init
37m         Normal    Pulled                   pod/fluentd-84fg2                                                  Container image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" already present on machine
36m         Warning   BackOff                  pod/fluentd-84fg2                                                  Back-off restarting failed container
23m         Normal    Scheduled                pod/fluentd-d7rsc                                                  Successfully assigned openshift-logging/fluentd-d7rsc to ocp-dgs4s-worker-c-qx4sr
8m46s       Warning   DNSConfigForming         pod/fluentd-d7rsc                                                  Search Line limits were exceeded, some search paths have been omitted, the applied search line is: openshift-logging.svc.cluster.local svc.cluster.local cluster.local europe-west2-c.c.ferrous-cipher-325014.internal c.ferrous-cipher-325014.internal google.internal
23m         Normal    AddedInterface           pod/fluentd-d7rsc                                                  Add eth0 [10.129.2.3/23] from openshift-sdn
23m         Normal    Pulling                  pod/fluentd-d7rsc                                                  Pulling image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972"
23m         Normal    Pulled                   pod/fluentd-d7rsc                                                  Successfully pulled image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" in 28.352277222s
21m         Normal    Created                  pod/fluentd-d7rsc                                                  Created container fluentd-init
21m         Normal    Started                  pod/fluentd-d7rsc                                                  Started container fluentd-init
21m         Normal    Pulled                   pod/fluentd-d7rsc                                                  Container image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" already present on machine
19m         Warning   BackOff                  pod/fluentd-d7rsc                                                  Back-off restarting failed container
8m1s        Normal    Scheduled                pod/fluentd-dlrvz                                                  Successfully assigned openshift-logging/fluentd-dlrvz to ocp-dgs4s-worker-a-gwqkh
7m58s       Warning   DNSConfigForming         pod/fluentd-dlrvz                                                  Search Line limits were exceeded, some search paths have been omitted, the applied search line is: openshift-logging.svc.cluster.local svc.cluster.local cluster.local europe-west2-a.c.ferrous-cipher-325014.internal c.ferrous-cipher-325014.internal google.internal
7m59s       Normal    AddedInterface           pod/fluentd-dlrvz                                                  Add eth0 [10.128.2.18/23] from openshift-sdn
7m58s       Normal    Pulled                   pod/fluentd-dlrvz                                                  Container image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" already present on machine
7m58s       Warning   Failed                   pod/fluentd-dlrvz                                                  Error: cannot find volume "certs" to mount into container "fluentd-init"
40m         Normal    Scheduled                pod/fluentd-kxs8m                                                  Successfully assigned openshift-logging/fluentd-kxs8m to ocp-dgs4s-worker-b-6srxv
4m55s       Warning   DNSConfigForming         pod/fluentd-kxs8m                                                  Search Line limits were exceeded, some search paths have been omitted, the applied search line is: openshift-logging.svc.cluster.local svc.cluster.local cluster.local europe-west2-b.c.ferrous-cipher-325014.internal c.ferrous-cipher-325014.internal google.internal
40m         Normal    AddedInterface           pod/fluentd-kxs8m                                                  Add eth0 [10.131.0.34/23] from openshift-sdn
40m         Normal    Pulling                  pod/fluentd-kxs8m                                                  Pulling image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972"
39m         Normal    Pulled                   pod/fluentd-kxs8m                                                  Successfully pulled image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" in 29.156568959s
37m         Normal    Created                  pod/fluentd-kxs8m                                                  Created container fluentd-init
37m         Normal    Started                  pod/fluentd-kxs8m                                                  Started container fluentd-init
37m         Normal    Pulled                   pod/fluentd-kxs8m                                                  Container image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" already present on machine
36m         Warning   BackOff                  pod/fluentd-kxs8m                                                  Back-off restarting failed container
40m         Normal    Scheduled                pod/fluentd-lxbnn                                                  Successfully assigned openshift-logging/fluentd-lxbnn to ocp-dgs4s-master-0
4m57s       Warning   DNSConfigForming         pod/fluentd-lxbnn                                                  Search Line limits were exceeded, some search paths have been omitted, the applied search line is: openshift-logging.svc.cluster.local svc.cluster.local cluster.local europe-west2-a.c.ferrous-cipher-325014.internal c.ferrous-cipher-325014.internal google.internal
40m         Normal    AddedInterface           pod/fluentd-lxbnn                                                  Add eth0 [10.128.0.42/23] from openshift-sdn
40m         Normal    Pulling                  pod/fluentd-lxbnn                                                  Pulling image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972"
39m         Normal    Pulled                   pod/fluentd-lxbnn                                                  Successfully pulled image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" in 33.337478354s
37m         Normal    Created                  pod/fluentd-lxbnn                                                  Created container fluentd-init
37m         Normal    Started                  pod/fluentd-lxbnn                                                  Started container fluentd-init
37m         Normal    Pulled                   pod/fluentd-lxbnn                                                  Container image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" already present on machine
36m         Warning   BackOff                  pod/fluentd-lxbnn                                                  Back-off restarting failed container
7m39s       Normal    Scheduled                pod/fluentd-mqgk5                                                  Successfully assigned openshift-logging/fluentd-mqgk5 to ocp-dgs4s-worker-c-qx4sr
65s         Warning   DNSConfigForming         pod/fluentd-mqgk5                                                  Search Line limits were exceeded, some search paths have been omitted, the applied search line is: openshift-logging.svc.cluster.local svc.cluster.local cluster.local europe-west2-c.c.ferrous-cipher-325014.internal c.ferrous-cipher-325014.internal google.internal
7m38s       Normal    AddedInterface           pod/fluentd-mqgk5                                                  Add eth0 [10.129.2.13/23] from openshift-sdn
7m37s       Normal    Pulled                   pod/fluentd-mqgk5                                                  Container image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" already present on machine
7m37s       Normal    Created                  pod/fluentd-mqgk5                                                  Created container fluentd-init
7m37s       Normal    Started                  pod/fluentd-mqgk5                                                  Started container fluentd-init
7m37s       Normal    Pulled                   pod/fluentd-mqgk5                                                  Container image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" already present on machine
7m37s       Normal    Created                  pod/fluentd-mqgk5                                                  Created container fluentd
7m36s       Normal    Started                  pod/fluentd-mqgk5                                                  Started container fluentd
7m49s       Normal    Scheduled                pod/fluentd-nzvtp                                                  Successfully assigned openshift-logging/fluentd-nzvtp to ocp-dgs4s-worker-a-gwqkh
2s          Warning   DNSConfigForming         pod/fluentd-nzvtp                                                  Search Line limits were exceeded, some search paths have been omitted, the applied search line is: openshift-logging.svc.cluster.local svc.cluster.local cluster.local europe-west2-a.c.ferrous-cipher-325014.internal c.ferrous-cipher-325014.internal google.internal
7m47s       Normal    AddedInterface           pod/fluentd-nzvtp                                                  Add eth0 [10.128.2.19/23] from openshift-sdn
7m47s       Normal    Pulled                   pod/fluentd-nzvtp                                                  Container image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" already present on machine
7m47s       Normal    Created                  pod/fluentd-nzvtp                                                  Created container fluentd-init
7m47s       Normal    Started                  pod/fluentd-nzvtp                                                  Started container fluentd-init
